Mean;Mean;
x;y;
[];[];
0;0.075543814;
0.0019762846;0.077790108;
0.0039525692;0.076151366;
0.0059288538;0.075388236;
0.0079051383;0.07498642;
0.0098814229;0.074097155;
0.011857708;0.074105978;
0.013833992;0.077936289;
0.015810277;0.072931555;
0.017786561;0.074880168;
0.019762846;0.07278168;
0.02173913;0.070801708;
0.023715415;0.072824084;
0.0256917;0.073964018;
0.027667984;0.070299111;
0.029644269;0.067931535;
0.031620553;0.069770768;
0.033596838;0.066114664;
0.035573123;0.066134271;
0.037549407;0.066520681;
0.039525692;0.069733197;
0.041501976;0.068652814;
0.043478261;0.066944465;
0.045454545;0.068240902;
0.04743083;0.066313223;
0.049407115;0.068428869;
0.051383399;0.068812863;
0.053359684;0.065421694;
0.055335968;0.063365746;
0.057312253;0.068285607;
0.059288538;0.072051021;
0.061264822;0.067631419;
0.063241107;0.067258985;
0.065217391;0.068585853;
0.067193676;0.065624288;
0.06916996;0.063682731;
0.071146245;0.06179371;
0.07312253;0.063670737;
0.075098814;0.067337927;
0.077075099;0.063102477;
0.079051383;0.063331321;
0.081027668;0.064402768;
0.083003953;0.061322456;
0.084980237;0.060852653;
0.086956522;0.060034843;
0.088932806;0.064022808;
0.090909091;0.062013766;
0.092885375;0.061408745;
0.09486166;0.059042921;
0.096837945;0.060007612;
0.098814229;0.05812225;
0.10079051;0.058108934;
0.1027668;0.056877767;
0.10474308;0.061616534;
0.10671937;0.060476236;
0.10869565;0.054187208;
0.11067194;0.061261914;
0.11264822;0.061119612;
0.11462451;0.05747504;
0.11660079;0.059165396;
0.11857708;0.058905314;
0.12055336;0.059952265;
0.12252964;0.064097007;
0.12450593;0.063153381;
0.12648221;0.057651216;
0.1284585;0.06078195;
0.13043478;0.060076243;
0.13241107;0.056539051;
0.13438735;0.055258203;
0.13636364;0.063034851;
0.13833992;0.066004607;
0.14031621;0.060529121;
0.14229249;0.056505332;
0.14426877;0.060335678;
0.14624506;0.061143226;
0.14822134;0.056457276;
0.15019763;0.058171572;
0.15217391;0.064702962;
0.1541502;0.061063664;
0.15612648;0.060045596;
0.15810277;0.057407532;
