563.911621;4476
563.965088;4464
564.018616;4487
564.072083;4456
564.125549;4420
564.179077;4494
564.232544;4527
564.286011;4439
564.339539;4511
564.393005;4416
564.446472;4323
564.500000;4440
564.553467;4504
564.606934;4378
564.660461;4356
564.713928;4379
564.767456;4376
564.820923;4478
564.874390;4397
564.927917;4293
564.981384;4380
565.034851;4471
565.088379;4397
565.141846;4367
565.195313;4354
565.248840;4248
565.302307;4230
565.355774;4283
565.409302;4328
565.462769;4317
565.516235;4199
565.569763;4136
565.623230;4227
565.676758;4257
565.730225;4262
565.783691;4260
565.837219;4250
565.890686;4257
565.944153;4185
565.997681;4161
566.051147;4181
566.104614;4244
566.158142;4203
566.211609;4138
566.265076;4107
566.318604;4139
566.372070;4156
566.425598;4253
566.479065;4234
566.532532;4139
566.586060;4092
566.639526;4093
566.692993;4112
566.746521;4089
566.799988;3993
566.853455;4027
566.906982;4101
566.960449;4035
567.013916;4016
567.067444;4054
567.120911;4005
567.174377;4015
567.227905;3980
567.281372;4026
567.334900;3925
567.388367;4000
567.441833;4073
567.495361;4083
567.548828;4003
567.602295;4006
567.655823;3945
567.709290;3924
567.762756;3908
567.816284;3969
567.869751;3960
567.923218;4048
567.976746;3931
568.030212;3925
568.083740;3981
568.137207;3819
568.190674;3901
568.244202;3810
568.297668;3915
568.351135;3942
568.404663;3844
568.458130;3964
568.511597;3903
568.565125;3880
568.618591;3823
568.672058;3884
568.725586;3869
568.779053;3966
568.832520;3867
568.886047;3825
568.939514;3823
568.993042;3779
569.046509;3757
569.099976;3823
569.153503;3806
569.206970;3847
569.260437;3850
569.313965;3818
569.367432;3957
569.420898;3913
569.474426;3869
569.527893;3851
569.581360;3788
569.634888;3830
569.688354;3833
569.741882;3875
569.795349;3739
569.848816;3682
569.902344;3686
569.955811;3749
570.009277;3855
570.062805;3777
570.116272;3669
570.169739;3725
570.223267;3815
570.276733;3771
570.330200;3706
570.383728;3661
570.437195;3748
570.490662;3795
570.544189;3745
570.597656;3759
570.651184;3654
570.704651;3575
570.758118;3630
570.811646;3717
570.865112;3734
570.918579;3707
570.972107;3745
571.025574;3751
571.079041;3626
571.132568;3563
571.186035;3616
571.239502;3646
571.293030;3629
571.346497;3630
571.400024;3677
571.453491;3664
571.506958;3623
571.560486;3754
571.613953;3791
571.667419;3709
571.720947;3773
571.774414;3801
571.827881;3714
571.881409;3812
571.934875;3863
571.988342;3772
572.041870;3667
572.095337;3682
572.148804;3590
572.202332;3550
572.255798;3574
572.309326;3604
572.362793;3658
572.416260;3714
572.469788;3619
572.523254;3647
572.576721;3780
