555.5;8.1
555.9;8.1
556.2;8.1
556.6;8.1
556.9;8.1
557.2;8.2
557.6;8.1
557.9;8.1
558.3;8.1
558.6;8.1
559;8.1
559.3;8.1
559.7;8.1
560;8.2
560.4;8.2
560.7;8.2
561;8.2
561.4;8.2
561.7;8.2
562.1;8.2
562.4;8.2
562.8;8.2
563.1;8.2
563.5;8.2
563.8;8.2
564.1;8.3
564.5;8.3
564.8;8.3
565.2;8.3
565.5;8.3
565.9;8.3
566.2;8.3
566.6;8.3
566.9;8.4
567.2;8.4
567.6;8.5
567.9;8.7
568.3;8.9
568.6;9.2
569;9.4
569.3;9.4
569.6;9.1
570;8.9
570.3;8.6
570.7;8.5
571;8.4
571.4;8.4
571.7;8.4
572.1;8.4
572.4;8.4
572.7;8.4
573.1;8.4
573.4;8.4
573.8;8.4
574.1;8.4
574.5;8.4
574.8;8.5
575.1;8.5
575.5;8.4
575.8;8.4
576.2;8.4
576.5;8.5
576.9;8.5
577.2;8.5
577.5;8.5
577.9;8.5
578.2;8.5
578.6;8.6
578.9;8.6
579.3;8.6
579.6;8.6
579.9;8.7
580.3;8.7
580.6;8.7
581;8.8
581.3;8.8
581.6;8.8
582;8.9
582.3;9
582.7;9
583;9.1
583.4;9.2
583.7;9.3
584;9.3
584.4;9.5
584.7;9.7
585.1;9.8
585.4;10.1
585.7;10.3
586.1;10.6
586.4;11
586.8;11.5
587.1;14.5
587.5;23.9
587.8;40.6
588.1;59.6
588.5;75.9
588.8;87.3
589.2;94
589.5;96.8
589.8;97.2
590.2;95.8
590.5;92
590.9;83.8
591.2;67
591.5;43.2
591.9;24.6
592.2;16.7
592.6;14.1
592.9;12.7
593.2;11.6
593.6;11
593.9;10.6
594.3;10.3
594.6;10.1
594.9;9.9
595.3;9.7
595.6;9.5
596;9.4
596.3;9.2
596.6;9.1
597;9.1
597.3;9
597.7;8.9
598;8.8
598.3;8.8
598.7;8.7
599;8.7
599.4;8.7
599.7;8.6
600;8.6
600.4;8.6
600.7;8.5
601.1;8.5
601.4;8.5
601.7;8.5
602.1;8.5
602.4;8.5
602.8;8.5
603.1;8.4
603.4;8.4
603.8;8.4
604.1;8.4
604.5;8.4
604.8;8.4
605.1;8.4
605.5;8.4
605.8;8.4
606.1;8.3
606.5;8.3
606.8;8.3
607.2;8.3
607.5;8.3
607.8;8.3
608.2;8.3
608.5;8.3
608.8;8.3
609.2;8.3
609.5;8.3
609.9;8.3
610.2;8.3
610.5;8.3
610.9;8.3
611.2;8.3
611.6;8.3
611.9;8.3
612.2;8.3
612.6;8.2
612.9;8.2
613.2;8.2
613.6;8.2
613.9;8.2
614.2;8.2
614.6;8.3
614.9;8.3
615.3;8.3
615.6;8.3
615.9;8.4
616.3;8.4
616.6;8.4
616.9;8.4
617.3;8.3
617.6;8.2
618;8.2
618.3;8.2
618.6;8.2
619;8.2
619.3;8.2
619.6;8.2
620;8.2
620.3;8.1
620.6;8.1
621;8.1
621.3;8.1
